Season,Team,POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,player_strength
2018,Hyderabad,5,Bhuvneshwar Kumar,12,12,46.1,354,9,0,39.33,7.66,30.77,0,0,185.6483029
2018,Hyderabad,6,Billy Stanlake,4,4,16,130,5,0,26,8.12,19.2,0,0,144.1527094
2018,Hyderabad,7,Carlos Brathwaite,4,4,10.1,94,5,0,18.8,9.24,12.2,0,0,123.3251082
2018,Hyderabad,8,Basil Thampi,4,4,10.1,114,5,0,22.8,11.21,12.2,0,0,104.306066
2018,Hyderabad,9,Yusuf Pathan,15,1,2,14,1,0,14,7,12,0,0,145.8571429
2018,Hyderabad,10,Mohammad Nabi,2,2,5,47,1,0,47,9.4,30,0,0,112.3829787
2018,Hyderabad,11,Chris Jordan,1,1,4,31,0,0,50,7.75,-,0,0,133.0322581
2018,Hyderabad,12,Deepak Hooda,9,2,3,24,0,0,50,8,-,0,0,128
2018,Hyderabad,13,Khaleel Ahmed,1,1,3,38,0,0,50,12.66,-,0,0,81.98894155
2017,Delhi,1,PatCummins,12,12,46.1,373,15,0,24.86,8.07,18.46,0,0,185.0157373
2017,Delhi,2,Chris Morris,9,9,31,240,12,0,20,7.74,15.5,1,0,172.1989664
2017,Delhi,3,Zaheer Khan,11,11,40.1,313,10,0,31.3,7.79,24.1,0,0,178.4697047
2017,Delhi,4,Amit Mishra,14,14,38.5,343,10,0,34.3,8.83,23.3,0,0,161.7502831
2017,Delhi,5,Shahbaz Nadeem,7,7,17.5,119,6,0,19.83,6.67,17.83,0,0,173.4250375
2017,Delhi,6,Kagiso Rabada,6,6,21.2,188,6,0,31.33,8.81,21.33,0,0,140.707378
2017,Delhi,7,Mohammad Shami,8,8,26,243,5,0,48.6,9.34,31.2,0,0,138.0663812
2017,Delhi,8,Corey Anderson,11,8,18.5,186,3,0,62,9.87,37.66,0,0,122.8171226
2017,Delhi,9,Carlos Brathwaite,2,2,6,67,1,0,67,11.16,36,0,0,96.60573477
2017,Delhi,10,Jayant Yadav,2,2,6,42,0,0,50,7,-,0,0,148.8571429
2017,Delhi,11,Angelo Mathews,3,2,5,56,0,0,50,11.2,-,0,0,94.28571429
2017,Delhi,12,Marlon Samuels,5,2,3,34,0,0,50,11.33,-,0,0,91.26125331
2017,Gujarat,1,AndrewTye,6,6,21,141,12,0,11.75,6.71,10.5,0,1,182.0312966
2017,Gujarat,2,Basil Thampi,12,12,44.4,424,11,0,38.54,9.49,24.36,0,0,160.774078
2017,Gujarat,3,Praveen Kumar,6,6,16.3,151,6,0,25.16,9.15,16.5,0,0,131.5896175
2017,Gujarat,4,James Faulkner,8,8,26.2,258,6,0,43,9.79,26.33,0,0,134.345046
2017,Gujarat,5,Ravindra Jadeja,12,12,38,349,5,0,69.8,9.18,45.6,0,0,151.9324619
2017,Gujarat,6,Pradeep Sangwan,5,5,18,181,5,0,36.2,10.05,21.6,0,0,122.5024876
2017,Gujarat,7,Dhawal Kulkarni,6,6,18.5,173,3,0,57.66,9.18,37.66,0,0,130.4324619
2017,Gujarat,8,Ankit Soni,7,6,18.1,144,2,0,72,7.92,54.5,0,0,146.3626263
2017,Gujarat,9,Dwayne Smith,12,9,13,148,2,0,74,11.38,39,0,0,102.8734622
2017,Gujarat,10,Nathu Singh,2,2,4,15,1,0,15,3.75,24,0,0,271.6666667
2017,Gujarat,11,Munaf Patel,2,2,7,57,1,0,57,8.14,42,0,0,130.8501229
2017,Gujarat,12,Suresh Raina,14,6,12,102,1,0,102,8.5,72,0,0,130.6470588
2017,Gujarat,13,Shubham Agarwal,1,1,4,42,1,0,42,10.5,24,0,0,100.2380952
2017,Gujarat,14,Tejas Baroka,1,1,3.3,33,0,0,50,9.42,-,0,0,109.4571125
2017,Gujarat,15,Shadab Jakati,2,2,5,52,0,0,50,10.4,-,0,0,101.1538462
2017,Punjab,1,SandeepSharma,13,13,48,398,17,0,23.41,8.29,16.94,1,0,185.6272618
2017,Punjab,2,Axar Patel,14,14,48,362,15,0,24.13,7.54,19.2,0,0,195.6259947
2017,Punjab,3,Mohit Sharma,14,14,45.4,410,13,0,31.53,8.97,21.07,0,0,169.8827202
2017,Punjab,4,Glenn Maxwell,14,8,19,125,7,0,17.85,6.57,16.28,0,0,178.2070015
2017,Punjab,5,Varun Aaron,6,6,20,163,7,0,23.28,8.15,17.14,0,0,149.6993865
